id,Details,NDVI,PLATFORM,Yield
88,HiRain_Hard_SP,0.95730412,TAMU,103
89,HiRain_Hard_SP,0.954256105,TAMU,98
90,HiRain_Hard_SP,0.959066201,TAMU,95
91,HiRain_Hard_SP,0.958901324,TAMU,83
92,HiRain_Hard_SP,0.915181039,TAMU,87
93,HiRain_Hard_SP,0.916274144,TAMU,81
94,HiRain_Hard_SP,0.937136352,TAMU,96
95,HiRain_Hard_SP,0.906507689,TAMU,84
96,HiRain_Hard_SP,0.87905537,TAMU,70
97,HiRain_Hard_SP,0.861310828,TAMU,54
98,HiRain_Hard_SP,0.886954946,TAMU,70
99,HiRain_Hard_SP,0.897922181,TAMU,74
100,HiRain_Hard_SP,0.892861363,TAMU,67
101,HiRain_Hard_SP,0.892430827,TAMU,73
102,HiRain_Hard_SP,0.878047575,TAMU,72
103,HiRain_Hard_SP,0.885627953,TAMU,77
104,HiRain_Hard_SP,0.907402913,TAMU,75
105,HiRain_Hard_SP,0.885181791,TAMU,72
106,HiRain_Hard_SP,0.878900779,TAMU,70
107,HiRain_Hard_SP,0.918446437,TAMU,89
108,HiRain_Hard_SP,0.910801304,TAMU,88
109,HiRain_Hard_SP,0.90260424,TAMU,87
110,HiRain_Hard_SP,0.92058466,TAMU,94
111,HiRain_Hard_SP,0.905569579,TAMU,78
112,HiRain_Hard_SP,0.938752639,TAMU,110
113,HiRain_Hard_SP,0.954752449,TAMU,97
114,HiRain_Hard_SP,0.937711897,TAMU,89
115,HiRain_Hard_SP,0.953627529,TAMU,84
116,HiRain_Hard_SP,0.941405044,TAMU,81
117,HiRain_Hard_SP,0.931469687,TAMU,76
118,HiRain_Hard_SP,0.91860437,TAMU,76
119,HiRain_Hard_SP,0.929613239,TAMU,71
120,HiRain_Hard_SP,0.891152851,TAMU,56
121,HiRain_Hard_SP,0.89711952,TAMU,77
122,HiRain_Hard_SP,0.889862295,TAMU,74
123,HiRain_Hard_SP,0.909800785,TAMU,63
124,HiRain_Hard_SP,0.90902214,TAMU,63
125,HiRain_Hard_SP,0.921301033,TAMU,79
126,HiRain_Hard_SP,0.939095169,TAMU,88
127,HiRain_Hard_SP,0.959406613,TAMU,102
128,HiRain_Hard_SP,0.952051045,TAMU,100
129,HiRain_Hard_SP,0.945551695,TAMU,96
130,HiRain_Hard_SP,0.927616273,TAMU,97
131,HiRain_Hard_SP,0.9539165,TAMU,99
132,HiRain_Hard_SP,0.947408113,TAMU,118
133,HiRain_Hard_SP,0.958101255,TAMU,118
134,HiRain_Hard_SP,0.976586306,TAMU,118
135,HiRain_Hard_SP,0.974715559,TAMU,115
136,HiRain_Hard_SP,0.967651248,TAMU,120
137,HiRain_Hard_SP,0.96935076,TAMU,116
138,HiRain_Hard_SP,0.964126376,TAMU,112
139,HiRain_Hard_SP,0.962694334,TAMU,102
140,HiRain_Hard_SP,0.962981798,TAMU,107
141,HiRain_Hard_SP,0.975032015,TAMU,97
142,HiRain_Hard_SP,0.969548184,TAMU,105
143,HiRain_Hard_SP,0.964117827,TAMU,114
144,HiRain_Hard_SP,0.967245988,TAMU,119
145,HiRain_Hard_SP,0.964994686,TAMU,124
146,HiRain_Hard_SP,0.964808425,TAMU,117
147,HiRain_Hard_SP,0.969977859,TAMU,125
