id,Details,NDVI_TAMU,NDVI_WSU,Yield
17,HiRain_SWW_SP,0.961581172,0.687106049,103
18,HiRain_SWW_SP,0.954714073,0.646773984,90
19,HiRain_SWW_SP,0.953636034,0.637413687,90
20,HiRain_SWW_SP,0.941618326,0.589186146,83
21,HiRain_SWW_SP,0.954092877,0.649251883,95
22,HiRain_SWW_SP,0.936061905,0.54692701,83
23,HiRain_SWW_SP,0.951279003,0.631216898,94
24,HiRain_SWW_SP,0.938092764,0.56229224,73
25,HiRain_SWW_SP,0.951745251,0.624268193,80
26,HiRain_SWW_SP,0.951012853,0.61640117,83
27,HiRain_SWW_SP,0.936430874,0.554748922,79
28,HiRain_SWW_SP,0.949544847,0.611600508,86
29,HiRain_SWW_SP,0.963216369,0.686511923,104
30,HiRain_SWW_SP,0.948057418,0.599734057,91
31,HiRain_SWW_SP,0.956024164,0.65978231,95
32,HiRain_SWW_SP,0.955880537,0.655175775,87
33,HiRain_SWW_SP,0.950310865,0.628170549,89
34,HiRain_SWW_SP,0.952902102,0.62938495,85
35,HiRain_SWW_SP,0.95250516,0.629424501,89
36,HiRain_SWW_SP,0.951508355,0.633396148,87
37,HiRain_SWW_SP,0.9419665,0.594827435,65
38,HiRain_SWW_SP,0.955683368,0.644303284,81
39,HiRain_SWW_SP,0.960752305,0.676424701,94
40,HiRain_SWW_SP,0.969777065,0.746563568,100
41,HiRain_SWW_SP,0.964408891,0.704793056,105
42,HiRain_SWW_SP,0.962948071,0.704759959,68
43,HiRain_SWW_SP,0.951519837,0.665867124,67
44,HiRain_SWW_SP,0.960920149,0.703443875,109
45,HiRain_SWW_SP,0.952725088,0.632160355,90
46,HiRain_SWW_SP,0.961588163,0.683306165,105
47,HiRain_SWW_SP,0.942665923,0.612512654,95
48,HiRain_SWW_SP,0.953825993,0.642936932,93
49,HiRain_SWW_SP,0.959141774,0.675229356,103
50,HiRain_SWW_SP,0.958459412,0.665032048,96
51,HiRain_SWW_SP,0.918847346,0.502733959,90
52,HiRain_SWW_SP,0.953892571,0.63834007,92
53,HiRain_SWW_SP,0.929686794,0.554954521,74
54,HiRain_SWW_SP,0.94682975,0.604654862,84
55,HiRain_SWW_SP,0.956593918,0.646563269,89
56,HiRain_SWW_SP,0.957722983,0.65009637,87
57,HiRain_SWW_SP,0.949403004,0.610458858,83
58,HiRain_SWW_SP,0.953418211,0.630737524,94
59,HiRain_SWW_SP,0.950018231,0.605317338,88
60,HiRain_SWW_SP,0.957074268,0.652087114,93
61,HiRain_SWW_SP,0.945101261,0.578535384,77
62,HiRain_SWW_SP,0.964640436,0.697457863,99
63,HiRain_SWW_SP,0.958249242,0.666831818,98
64,HiRain_SWW_SP,0.96071757,0.666756716,103
65,HiRain_SWW_SP,0.948663413,0.611916133,90
66,HiRain_SWW_SP,0.958919547,0.66435186,102
67,HiRain_SWW_SP,0.926775556,0.538488046,59
68,HiRain_SWW_SP,0.941917871,0.596663696,63
69,HiRain_SWW_SP,0.963548458,0.693762558,105
70,HiRain_SWW_SP,0.958219791,0.697688449,80
71,HiRain_SWW_SP,0.95625456,0.657339155,92
72,HiRain_SWW_SP,0.94614264,0.632231583,73
73,HiRain_SWW_SP,0.933101625,0.577783372,76
74,HiRain_SWW_SP,0.914247723,0.533681014,61
75,HiRain_SWW_SP,0.924101692,0.538755139,71
76,HiRain_SWW_SP,0.874914064,0.52694688,41
77,HiRain_SWW_SP,0.952057619,0.643538928,89
78,HiRain_SWW_SP,0.94047338,0.570818261,86
79,HiRain_SWW_SP,0.936750711,0.556250644,88
80,HiRain_SWW_SP,0.946344923,0.599188846,91
81,HiRain_SWW_SP,0.961428967,0.691166685,108
82,HiRain_SWW_SP,0.938632606,0.570731218,75
83,HiRain_SWW_SP,0.922901474,0.5557195,61
84,HiRain_SWW_SP,0.9354198,0.567097326,62
85,HiRain_SWW_SP,0.961094451,0.6758051,89
86,HiRain_SWW_SP,0.939895605,0.560780693,93
87,HiRain_SWW_SP,0.939706628,0.565131576,101
88,HiRain_SWW_SP,0.932689895,0.547536511,95
89,HiRain_SWW_SP,0.936200372,0.548943471,79
90,HiRain_SWW_SP,0.9366711,0.57855872,89
91,HiRain_SWW_SP,0.962198611,0.690244962,104
92,HiRain_SWW_SP,0.959004947,0.66737337,92
93,HiRain_SWW_SP,0.930012901,0.527471943,85
94,HiRain_SWW_SP,0.949088107,0.612218758,86
95,HiRain_SWW_SP,0.926191944,0.521227809,102
96,HiRain_SWW_SP,0.927218956,0.515952634,88
97,HiRain_SWW_SP,0.932932615,0.551540961,94
98,HiRain_SWW_SP,0.945872015,0.60969753,89
99,HiRain_SWW_SP,0.929275018,0.556615737,68
100,HiRain_SWW_SP,0.943032068,0.590113107,83
101,HiRain_SWW_SP,0.945553582,0.610550374,98
102,HiRain_SWW_SP,0.938087254,0.54387124,85
103,HiRain_SWW_SP,0.938248927,0.555194884,86
104,HiRain_SWW_SP,0.931775807,0.532036426,80
105,HiRain_SWW_SP,0.891511412,0.408139784,67
106,HiRain_SWW_SP,0.87963255,0.390155662,56
107,HiRain_SWW_SP,0.920710189,0.492688488,40
108,HiRain_SWW_SP,0.911654971,0.45690712,65
109,HiRain_SWW_SP,0.923810526,0.492468541,72
110,HiRain_SWW_SP,0.935139474,0.543015385,77
111,HiRain_SWW_SP,0.924000614,0.514547144,91
112,HiRain_SWW_SP,0.960902211,0.67594041,84
113,HiRain_SWW_SP,0.957768167,0.65497139,96
114,HiRain_SWW_SP,0.957549984,0.651321034,87
115,HiRain_SWW_SP,0.947834191,0.590897449,95
116,HiRain_SWW_SP,0.937193719,0.536268096,91
117,HiRain_SWW_SP,0.912880582,0.460014672,83
118,HiRain_SWW_SP,0.919428838,0.460869022,80
119,HiRain_SWW_SP,0.9273159,0.513314443,73
120,HiRain_SWW_SP,0.936266246,0.536261862,80
121,HiRain_SWW_SP,0.934104285,0.540595037,78
122,HiRain_SWW_SP,0.942578267,0.573696521,100
123,HiRain_SWW_SP,0.937026099,0.544710763,75
124,HiRain_SWW_SP,0.955698978,0.649729741,92
125,HiRain_SWW_SP,0.92959356,0.537431384,74
126,HiRain_SWW_SP,0.950989649,0.616042487,78
127,HiRain_SWW_SP,0.953999818,0.646247443,101
128,HiRain_SWW_SP,0.941408311,0.587386139,91
129,HiRain_SWW_SP,0.952058271,0.622798154,104
130,HiRain_SWW_SP,0.952862125,0.63083533,91
131,HiRain_SWW_SP,0.950932629,0.612899005,106
132,HiRain_SWW_SP,0.953412246,0.634680937,88
133,HiRain_SWW_SP,0.951838821,0.622981009,93
134,HiRain_SWW_SP,0.935085332,0.551258955,80
135,HiRain_SWW_SP,0.941651676,0.575696975,86
136,HiRain_SWW_SP,0.939759434,0.563151403,94
137,HiRain_SWW_SP,0.943971378,0.588673078,100
138,HiRain_SWW_SP,0.949397178,0.612308508,95
139,HiRain_SWW_SP,0.916844819,0.458859283,79
140,HiRain_SWW_SP,0.903988583,0.436645457,79
141,HiRain_SWW_SP,0.951364808,0.612855878,94
142,HiRain_SWW_SP,0.944089526,0.581815693,92
143,HiRain_SWW_SP,0.946481714,0.599484074,106
144,HiRain_SWW_SP,0.945532686,0.600058857,94
145,HiRain_SWW_SP,0.952529889,0.644878565,99
146,HiRain_SWW_SP,0.960198681,0.671676004,101
147,HiRain_SWW_SP,0.956295739,0.639750853,91
148,HiRain_SWW_SP,0.955425521,0.638387121,92
149,HiRain_SWW_SP,0.950835055,0.623893308,90
150,HiRain_SWW_SP,0.960429889,0.674698026,102
151,HiRain_SWW_SP,0.966409549,0.724175862,110
152,HiRain_SWW_SP,0.953408096,0.628612993,106
153,HiRain_SWW_SP,0.959617817,0.670968771,98
154,HiRain_SWW_SP,0.958682094,0.66270688,106
155,HiRain_SWW_SP,0.962326033,0.690605787,117
156,HiRain_SWW_SP,0.962807137,0.694086971,111
157,HiRain_SWW_SP,0.968315152,0.728106778,112
