id,Details,NDRE_TAMU,NDRE_WSU
47,AWY2,0.218110734,0.499867791
48,AWY2,0.336525651,0.587085499
49,AWY2,0.18363429,0.465369999
50,AWY2,0.235941534,0.507462594
51,AWY2,0.206517966,0.48806119
52,AWY2,0.156310654,0.448992231
53,AWY2,0.233031855,0.504344148
54,AWY2,0.228129728,0.504191477
55,AWY2,0.243855473,0.518416604
56,AWY2,0.210356061,0.495075548
57,AWY2,0.228775815,0.506066744
58,AWY2,0.269336283,0.531663004
59,AWY2,0.256483865,0.524872599
60,AWY2,0.274329734,0.53638698
61,AWY2,0.247250859,0.522346865
62,AWY2,0.25777948,0.526304271
63,AWY2,0.237550162,0.513964118
64,AWY2,0.153553835,0.457826184
65,AWY2,0.102992273,0.430839134
66,AWY2,0.080959516,0.437009729
67,AWY2,0.25175533,0.519858393
68,AWY2,0.235526321,0.507953554
69,AWY2,0.207825817,0.486761791
70,AWY2,0.258594538,0.525374968
71,AWY2,0.277248631,0.542582084
72,AWY2,0.238778531,0.515818009
73,AWY2,0.264546683,0.5334354
74,AWY2,0.284525811,0.543231785
75,AWY2,0.235742921,0.508133464
76,AWY2,0.309121673,0.560980631
77,AWY2,0.320253044,0.569691519
78,AWY2,0.299263599,0.556124294
79,AWY2,0.272295323,0.533046149
80,AWY2,0.253102171,0.522270285
81,AWY2,0.226293881,0.501381604
82,AWY2,0.276499298,0.534573327
83,AWY2,0.249851048,0.520312933
84,AWY2,0.167910553,0.462498449
85,AWY2,0.258924024,0.5229947
86,AWY2,0.17522954,0.465855195
87,AWY2,0.172063622,0.462442618
88,AWY2,0.240366909,0.510422249
89,AWY2,0.178754885,0.465979746
90,AWY2,0.225584417,0.499706004
91,AWY2,0.164081932,0.450215055
92,AWY2,0.120319563,0.449854994
93,AWY2,0.164160448,0.460128448
94,AWY2,0.179241531,0.464689056
95,AWY2,0.214972595,0.48775963
96,AWY2,0.222352821,0.499808815
97,AWY2,0.167805732,0.455533523
98,AWY2,0.200133264,0.485706936
99,AWY2,0.136650517,0.439903753
100,AWY2,0.181695721,0.4711118
101,AWY2,0.269366243,0.526778603
102,AWY2,0.189945949,0.466091187
103,AWY2,0.166433037,0.457621927
104,AWY2,0.186037682,0.477072342
105,AWY2,0.086912233,0.412091213
106,AWY2,0.180525911,0.470730135
107,AWY2,0.210924021,0.489115368
108,AWY2,0.183554553,0.472170117
1,CoAx,0.144956283,0.445362175
2,CoAx,0.183078401,0.467064358
3,CoAx,0.191743032,0.466871642
4,CoAx,0.117846282,0.416481094
5,CoAx,0.168237825,0.448815693
6,CoAx,0.166178064,0.460174865
7,CoAx,0.161208221,0.451827959
8,CoAx,0.17419729,0.465125279
9,CoAx,0.065815659,0.390972306
10,CoAx,-0.012005275,0.354493645
11,CoAx,0.175789761,0.473217977
12,CoAx,0.211184127,0.491461728
13,CoAx,0.178465626,0.463049707
14,CoAx,0.249994067,0.524069089
15,CoAx,0.168163114,0.458427088
16,CoAx,0.201780574,0.477644572
17,CoAx,0.192563254,0.472184748
18,CoAx,0.190420864,0.468051556
19,CoAx,0.14016024,0.426879248
20,CoAx,0.130384669,0.429077107
21,CoAx,0.042137265,0.379407306
22,CoAx,0.132175902,0.429006238
23,CoAx,0.207716794,0.486584756
24,CoAx,0.118825197,0.421177168
25,CoAx,0.24188643,0.509149911
26,CoAx,0.054817256,0.443822352
27,CoAx,0.136456338,0.430179264
28,CoAx,0.18804375,0.468239736
29,CoAx,0.167967477,0.45521913
30,CoAx,0.100818025,0.423912948
31,CoAx,0.14381313,0.445184843
32,CoAx,0.220295897,0.49818972
33,CoAx,0.188651631,0.475789553
34,CoAx,0.157509866,0.453880033
35,CoAx,0.247431948,0.519934678
36,CoAx,0.121777649,0.431062003
37,CoAx,0.179333064,0.458412927
38,CoAx,0.145446001,0.43968103
39,CoAx,0.193406435,0.476474698
40,CoAx,0.172102765,0.462177414
41,CoAx,0.131416334,0.435029659
42,CoAx,0.135635882,0.441071982
43,CoAx,0.137915043,0.438039641
44,CoAx,0.14858898,0.45477329
45,CoAx,0.098115234,0.415462998
1,CoAx_Spray,0.127638605,0.440494503
2,CoAx_Spray,0.168120528,0.462619239
3,CoAx_Spray,0.1487656,0.448840607
4,CoAx_Spray,0.14549053,0.44310626
5,CoAx_Spray,0.144738242,0.440618268
6,CoAx_Spray,0.214410701,0.490186207
7,CoAx_Spray,0.223549371,0.495493283
8,CoAx_Spray,0.201833262,0.480096166
9,CoAx_Spray,0.042729978,0.392339493
10,CoAx_Spray,0.026686675,0.388375229
11,CoAx_Spray,-0.287981384,0.135630362
12,CoAx_Spray,-0.302544439,0.089106252
13,CoAx_Spray,0.118542861,0.422235959
14,CoAx_Spray,-0.268339794,0.124376816
15,CoAx_Spray,0.144547547,0.438579617
16,CoAx_Spray,0.174394912,0.46179861
17,CoAx_Spray,0.162493412,0.455133293
18,CoAx_Spray,0.187991122,0.466566337
19,CoAx_Spray,0.137041938,0.429859864
20,CoAx_Spray,0.162126443,0.459331757
21,CoAx_Spray,0.060092372,0.394321541
22,CoAx_Spray,0.131605418,0.432571445
23,CoAx_Spray,-0.284699152,0.113433885
24,CoAx_Spray,0.05776546,0.393107326
25,CoAx_Spray,-0.273564994,0.180335249
