id,Details,NDVI_TAMU,NDVI_WSU
69,AWY2,0.962541894,0.728905833
70,AWY2,0.968899764,0.77486543
71,AWY2,0.96415312,0.746872834
72,AWY2,0.966653296,0.768539949
73,AWY2,0.972701822,0.793257722
74,AWY2,0.972093376,0.785041917
75,AWY2,0.967465745,0.756693615
76,AWY2,0.976114764,0.809247643
77,AWY2,0.968769698,0.764231371
78,AWY2,0.977626944,0.828168706
79,AWY2,0.970981338,0.787682918
80,AWY2,0.959523372,0.718013808
81,AWY2,0.966185988,0.756672845
82,AWY2,0.97166121,0.786641839
83,AWY2,0.966742607,0.76166167
84,AWY2,0.955486951,0.699003467
85,AWY2,0.971193064,0.778090219
86,AWY2,0.952599039,0.690021416
87,AWY2,0.949974178,0.671164484
88,AWY2,0.965632331,0.742155614
89,AWY2,0.951392713,0.684900808
90,AWY2,0.953906632,0.690351288
91,AWY2,0.951069447,0.67842694
92,AWY2,0.92246523,0.62011482
93,AWY2,0.945418247,0.654708414
94,AWY2,0.955462337,0.691398813
95,AWY2,0.963834363,0.736967495
96,AWY2,0.954473255,0.686437544
97,AWY2,0.943296124,0.61326129
98,AWY2,0.958798,0.725648023
99,AWY2,0.937230413,0.607787326
100,AWY2,0.957540643,0.705272082
101,AWY2,0.969618593,0.766834426
102,AWY2,0.959192372,0.714849881
103,AWY2,0.942767257,0.657243683
104,AWY2,0.946424154,0.683036793
105,AWY2,0.926436258,0.595293909
106,AWY2,0.958141944,0.714496325
107,AWY2,0.965176988,0.753401272
108,AWY2,0.960717757,0.722674195
1,CoAx,0.943719,0.634966875
2,CoAx,0.956334636,0.684982964
3,CoAx,0.961225885,0.688727248
4,CoAx,0.943608763,0.596669017
5,CoAx,0.957874171,0.658313434
6,CoAx,0.947656508,0.643650858
7,CoAx,0.948480816,0.647519296
8,CoAx,0.954343267,0.702431085
9,CoAx,0.921394216,0.551317464
10,CoAx,0.898889287,0.496635297
11,CoAx,0.94727855,0.648122772
12,CoAx,0.963040323,0.716672039
13,CoAx,0.96283573,0.717982471
14,CoAx,0.963842093,0.734182516
15,CoAx,0.953325448,0.665126147
16,CoAx,0.962144986,0.71660836
17,CoAx,0.956048458,0.685345021
18,CoAx,0.96409969,0.735534125
19,CoAx,0.960153863,0.699130798
20,CoAx,0.941713346,0.612053253
21,CoAx,0.91697232,0.546378898
22,CoAx,0.950617374,0.663563321
23,CoAx,0.957477777,0.701799373
24,CoAx,0.940970035,0.620257228
25,CoAx,0.964837024,0.736052903
26,CoAx,0.899671768,0.604015565
27,CoAx,0.946700312,0.636583327
28,CoAx,0.95808267,0.699926303
29,CoAx,0.95603036,0.691668676
30,CoAx,0.936708624,0.64737165
31,CoAx,0.950953529,0.676032417
32,CoAx,0.964721314,0.734094923
33,CoAx,0.954042214,0.67588453
34,CoAx,0.944007699,0.630166391
35,CoAx,0.965647873,0.747832845
36,CoAx,0.940666785,0.637564262
37,CoAx,0.965476857,0.738723879
38,CoAx,0.945950772,0.636879772
39,CoAx,0.966148465,0.743621701
40,CoAx,0.957967615,0.705665835
41,CoAx,0.951821279,0.666749975
42,CoAx,0.950509604,0.671040714
43,CoAx,0.952122768,0.671566432
44,CoAx,0.951077106,0.681316674
45,CoAx,0.934681092,0.589761227
1,CoAx_Spray,0.944782091,0.667420657
2,CoAx_Spray,0.955619192,0.706527878
3,CoAx_Spray,0.952702898,0.697366063
4,CoAx_Spray,0.950219666,0.66317419
5,CoAx_Spray,0.950025154,0.654928945
6,CoAx_Spray,0.958117324,0.697435754
7,CoAx_Spray,0.962294486,0.721447802
8,CoAx_Spray,0.959402496,0.718897534
9,CoAx_Spray,0.908472286,0.548911029
10,CoAx_Spray,0.902231705,0.548058748
11,CoAx_Spray,0.774501024,0.244984982
12,CoAx_Spray,0.763039062,0.182368199
13,CoAx_Spray,0.95336497,0.688476011
14,CoAx_Spray,0.784021755,0.19926497
15,CoAx_Spray,0.952109619,0.668669987
16,CoAx_Spray,0.958271929,0.706066769
17,CoAx_Spray,0.948578682,0.670641318
18,CoAx_Spray,0.961208948,0.731245848
19,CoAx_Spray,0.956438475,0.702090923
20,CoAx_Spray,0.94682453,0.669956477
21,CoAx_Spray,0.924005309,0.582078985
22,CoAx_Spray,0.948688218,0.668895263
23,CoAx_Spray,0.775039694,0.205511956
24,CoAx_Spray,0.922474746,0.583889615
25,CoAx_Spray,0.773921387,0.254419443
26,CoAx_Spray,0.818732616,0.360092767
27,CoAx_Spray,0.953104156,0.683631014
28,CoAx_Spray,0.967293074,0.765566797
29,CoAx_Spray,0.961802925,0.735486299
30,CoAx_Spray,0.953696979,0.70347445
31,CoAx_Spray,0.951682977,0.685659441
32,CoAx_Spray,0.767749984,0.18773296
33,CoAx_Spray,0.943859298,0.661279832
34,CoAx_Spray,0.77740283,0.295531306
35,CoAx_Spray,0.771504136,0.307121451
36,CoAx_Spray,0.918766774,0.557489643
37,CoAx_Spray,0.964346679,0.735268845
38,CoAx_Spray,0.956531898,0.697304037
39,CoAx_Spray,0.969106514,0.769422819
40,CoAx_Spray,0.958244211,0.71409429
41,CoAx_Spray,0.951046486,0.678498473
42,CoAx_Spray,0.915197714,0.62387881
43,CoAx_Spray,0.950431217,0.681885328
44,CoAx_Spray,0.956386249,0.70431623
45,CoAx_Spray,0.939817395,0.631919007
1,HiRain_Har,0.914239462,0.50608548
2,HiRain_Har,0.954029748,0.677674303
3,HiRain_Har,0.91966441,0.582752671
4,HiRain_Har,0.958649951,0.710994295
5,HiRain_Har,0.937036066,0.619572175
6,HiRain_Har,0.954542272,0.66982724
7,HiRain_Har,0.944513029,0.646813368
8,HiRain_Har,0.95662677,0.709755455
9,HiRain_Har,0.925315094,0.589614393
10,HiRain_Har,0.923018466,0.528178507
11,HiRain_Har,0.942433918,0.625072957
12,HiRain_Har,0.945994954,0.651273809
13,HiRain_Har,0.940295552,0.618456559
14,HiRain_Har,0.951566272,0.674420548
