id,Details,NDRE_TAMU,NDRE_WSU,Yield
192,HiRain_Hard_SP,0.274770588,0.44122071,119
193,HiRain_Hard_SP,0.27023571,0.437261226,118
194,HiRain_Hard_SP,0.264888071,0.43057949,118
195,HiRain_Hard_SP,0.283923096,0.448044294,103
196,HiRain_Hard_SP,0.276549385,0.439114216,123
197,HiRain_Hard_SP,0.18158663,0.373015061,103
198,HiRain_Hard_SP,0.18780204,0.374189905,93
199,HiRain_Hard_SP,0.177330654,0.363145139,107
2000,HiRain_Hard_SP,0.201545635,0.380759229,100
201,HiRain_Hard_SP,0.215910023,0.392800018,113
202,HiRain_Hard_SP,0.219960895,0.400645168,111
203,HiRain_Hard_SP,0.201047715,0.383028245,105
204,HiRain_Hard_SP,0.23117816,0.406403787,115
205,HiRain_Hard_SP,0.266263653,0.437731801,103
206,HiRain_Hard_SP,0.232011635,0.411579791,108
207,HiRain_Hard_SP,0.199296299,0.387227223,100
208,HiRain_Hard_SP,0.202387065,0.391006065,100
209,HiRain_Hard_SP,0.213518607,0.399599535,96
210,HiRain_Hard_SP,0.17468146,0.372007776,84
211,HiRain_Hard_SP,0.046909107,0.371416951,71
212,HiRain_Hard_SP,0.19168659,0.40188462,91
213,HiRain_Hard_SP,0.189324387,0.396138233,94
214,HiRain_Hard_SP,0.204414131,0.400720035,102
215,HiRain_Hard_SP,0.215674977,0.409254489,99
216,HiRain_Hard_SP,0.254965988,0.432733872,101
217,HiRain_Hard_SP,0.250753081,0.42757089,103
218,HiRain_Hard_SP,0.22015866,0.405272763,115
219,HiRain_Hard_SP,0.249943297,0.430575044,109
220,HiRain_Hard_SP,0.225059394,0.408034366,110
221,HiRain_Hard_SP,0.153909066,0.368842408,90
222,HiRain_Hard_SP,0.087361629,0.315816591,75
223,HiRain_Hard_SP,0.134453705,0.347516112,84
224,HiRain_Hard_SP,0.184384876,0.374884469,84
225,HiRain_Hard_SP,0.193276926,0.386515463,92
226,HiRain_Hard_SP,0.187138856,0.385514354,92
227,HiRain_Hard_SP,0.163124476,0.364898036,91
228,HiRain_Hard_SP,0.160079787,0.358204625,101
229,HiRain_Hard_SP,0.16491828,0.360283338,101
230,HiRain_Hard_SP,0.150623946,0.353677541,99
231,HiRain_Hard_SP,0.228457133,0.410453434,104
232,HiRain_Hard_SP,0.23573246,0.416138772,119
233,HiRain_Hard_SP,0.221546313,0.406022732,109
234,HiRain_Hard_SP,0.220812578,0.405948511,104
235,HiRain_Hard_SP,0.176626348,0.377226353,97
236,HiRain_Hard_SP,0.160591735,0.364660316,102
237,HiRain_Hard_SP,0.162240407,0.37092733,99
238,HiRain_Hard_SP,0.177861925,0.392855947,95
239,HiRain_Hard_SP,0.233829814,0.424596501,97
1,HiRain_SWW_SP,0.135776437,0.362261017,62
2,HiRain_SWW_SP,0.165608989,0.379480264,68
3,HiRain_SWW_SP,0.253120355,0.443767179,90
4,HiRain_SWW_SP,0.230102882,0.431172582,77
5,HiRain_SWW_SP,0.202120524,0.413519551,68
6,HiRain_SWW_SP,0.165871281,0.393875492,69
7,HiRain_SWW_SP,0.18788676,0.399111925,67
8,HiRain_SWW_SP,0.205385694,0.406508642,72
9,HiRain_SWW_SP,0.189520437,0.398797933,75
10,HiRain_SWW_SP,0.227921535,0.420933944,83
11,HiRain_SWW_SP,0.171265484,0.366921999,87
12,HiRain_SWW_SP,0.22497546,0.418031749,86
13,HiRain_SWW_SP,0.163157542,0.374807636,72
14,HiRain_SWW_SP,0.215974393,0.411849275,60
15,HiRain_SWW_SP,0.215205184,0.408912278,57
16,HiRain_SWW_SP,0.2029685,0.39056551,82
17,HiRain_SWW_SP,0.234621235,0.412844958,103
18,HiRain_SWW_SP,0.223125169,0.407708056,90
19,HiRain_SWW_SP,0.213726829,0.398685053,90
20,HiRain_SWW_SP,0.179334857,0.376774413,83
21,HiRain_SWW_SP,0.224086204,0.408724594,95
22,HiRain_SWW_SP,0.140224807,0.340605107,83
23,HiRain_SWW_SP,0.183847174,0.382595536,94
24,HiRain_SWW_SP,0.146592937,0.358582527,73
25,HiRain_SWW_SP,0.19933886,0.399953461,80
26,HiRain_SWW_SP,0.195343559,0.390898054,83
27,HiRain_SWW_SP,0.15719198,0.368133199,79
28,HiRain_SWW_SP,0.201945929,0.399726357,86
29,HiRain_SWW_SP,0.295855726,0.465673048,104
30,HiRain_SWW_SP,0.222249645,0.409881934,91
31,HiRain_SWW_SP,0.26571975,0.446610288,95
32,HiRain_SWW_SP,0.240204503,0.427329873,87
33,HiRain_SWW_SP,0.214420848,0.409610714,89
34,HiRain_SWW_SP,0.210520086,0.400890029,85
35,HiRain_SWW_SP,0.209710431,0.399464461,89
36,HiRain_SWW_SP,0.203708733,0.397907739,87
37,HiRain_SWW_SP,0.175359132,0.381872771,65
38,HiRain_SWW_SP,0.234489967,0.419355489,81
39,HiRain_SWW_SP,0.238912891,0.420536819,94
40,HiRain_SWW_SP,0.291864302,0.464680698,100
41,HiRain_SWW_SP,0.27762576,0.450333964,105
42,HiRain_SWW_SP,0.262224224,0.437984938,68
43,HiRain_SWW_SP,0.196518503,0.397318732,67
44,HiRain_SWW_SP,0.2190982,0.415078893,109
45,HiRain_SWW_SP,0.176305299,0.370558452,90
46,HiRain_SWW_SP,0.22152469,0.408519123,105
47,HiRain_SWW_SP,0.145145597,0.358479709,95
48,HiRain_SWW_SP,0.198510938,0.390658021,93
49,HiRain_SWW_SP,0.235888552,0.420228362,103
50,HiRain_SWW_SP,0.232603683,0.412494129,96
51,HiRain_SWW_SP,0.123891376,0.346527458,90
52,HiRain_SWW_SP,0.223132427,0.40823355,92
53,HiRain_SWW_SP,0.159659301,0.378208996,74
54,HiRain_SWW_SP,0.20601681,0.398586331,84
55,HiRain_SWW_SP,0.250529626,0.429890405,89
56,HiRain_SWW_SP,0.227600317,0.409248259,87
57,HiRain_SWW_SP,0.207762158,0.392535763,83
58,HiRain_SWW_SP,0.255487886,0.433142003,94
59,HiRain_SWW_SP,0.232244768,0.415039715,88
60,HiRain_SWW_SP,0.234788686,0.42015912,93
61,HiRain_SWW_SP,0.20410863,0.399686824,77
62,HiRain_SWW_SP,0.277812255,0.4542756,99
63,HiRain_SWW_SP,0.260109258,0.443226877,98
64,HiRain_SWW_SP,0.2661587,0.438884146,103
65,HiRain_SWW_SP,0.212889547,0.403674298,90
66,HiRain_SWW_SP,0.261219604,0.436777768,102
67,HiRain_SWW_SP,0.10790337,0.332490893,59
68,HiRain_SWW_SP,0.129157129,0.338809576,63
69,HiRain_SWW_SP,0.231372936,0.409308475,105
70,HiRain_SWW_SP,0.223037935,0.418081509,80
71,HiRain_SWW_SP,0.169788476,0.362973625,92
72,HiRain_SWW_SP,0.148781715,0.357223087,73
73,HiRain_SWW_SP,0.0990982,0.326235929,76
74,HiRain_SWW_SP,0.052180616,0.307091609,61
75,HiRain_SWW_SP,0.056618926,0.293024935,71
76,HiRain_SWW_SP,-0.011503846,0.312022203,41
77,HiRain_SWW_SP,0.149167754,0.362090384,89
78,HiRain_SWW_SP,0.134280452,0.352651391,86
79,HiRain_SWW_SP,0.108718821,0.333481466,88
80,HiRain_SWW_SP,0.160267622,0.368015272,91
81,HiRain_SWW_SP,0.234549538,0.424049337,108
82,HiRain_SWW_SP,0.135902006,0.343968947,75
83,HiRain_SWW_SP,0.081028618,0.321824062,61
84,HiRain_SWW_SP,0.116560994,0.332476229,62
85,HiRain_SWW_SP,0.257702801,0.436671567,89
86,HiRain_SWW_SP,0.164831831,0.365461851,93
87,HiRain_SWW_SP,0.160757415,0.362141133,101
88,HiRain_SWW_SP,0.142640171,0.364722524,95
89,HiRain_SWW_SP,0.132573953,0.349126016,79
90,HiRain_SWW_SP,0.141016193,0.370545039,89
91,HiRain_SWW_SP,0.271474045,0.460987511,104
92,HiRain_SWW_SP,0.215084715,0.417267548,92
93,HiRain_SWW_SP,0.13467979,0.359180241,85
94,HiRain_SWW_SP,0.179936097,0.3827165,86
95,HiRain_SWW_SP,0.156221331,0.375685735,102
96,HiRain_SWW_SP,0.136692919,0.353867644,88
97,HiRain_SWW_SP,0.169322499,0.383799381,94
98,HiRain_SWW_SP,0.194876786,0.39644005,89
99,HiRain_SWW_SP,0.081953083,0.310795655,68
100,HiRain_SWW_SP,0.148292558,0.355268156,83
101,HiRain_SWW_SP,0.169281636,0.378494939,98
102,HiRain_SWW_SP,0.130711836,0.338003214,85
103,HiRain_SWW_SP,0.113435192,0.326011877,86
104,HiRain_SWW_SP,0.107681448,0.328655364,80
105,HiRain_SWW_SP,0.017157233,0.277558241,67
106,HiRain_SWW_SP,-0.012215783,0.258280981,56
107,HiRain_SWW_SP,0.064552326,0.299949447,40
108,HiRain_SWW_SP,0.081443485,0.313071322,65
109,HiRain_SWW_SP,0.119241026,0.337447143,72
110,HiRain_SWW_SP,0.145999098,0.351932314,77
111,HiRain_SWW_SP,0.131435277,0.353821745,91
112,HiRain_SWW_SP,0.217151601,0.40197407,84
113,HiRain_SWW_SP,0.220332683,0.406107334,96
114,HiRain_SWW_SP,0.252601926,0.439422177,87
115,HiRain_SWW_SP,0.202906933,0.396007085,95
116,HiRain_SWW_SP,0.161475002,0.36693465,91
117,HiRain_SWW_SP,0.082869072,0.321021037,83
118,HiRain_SWW_SP,0.091097519,0.315285734,80
119,HiRain_SWW_SP,0.107339915,0.33487563,73
120,HiRain_SWW_SP,0.172943918,0.381090289,80
121,HiRain_SWW_SP,0.155942919,0.373363911,78
122,HiRain_SWW_SP,0.158425558,0.363689348,100
123,HiRain_SWW_SP,0.147327511,0.355032373,75
124,HiRain_SWW_SP,0.21406544,0.405972973,92
125,HiRain_SWW_SP,0.125984845,0.342763119,74
126,HiRain_SWW_SP,0.183468721,0.371705534,78
127,HiRain_SWW_SP,0.199130629,0.384650376,101
128,HiRain_SWW_SP,0.162461311,0.361633012,91
129,HiRain_SWW_SP,0.200888163,0.390257961,104
130,HiRain_SWW_SP,0.205525946,0.398065019,91
131,HiRain_SWW_SP,0.149287083,0.342949511,106
132,HiRain_SWW_SP,0.197084283,0.389216025,88
133,HiRain_SWW_SP,0.209719577,0.402322999,93
134,HiRain_SWW_SP,0.131257872,0.348752126,80
135,HiRain_SWW_SP,0.160250559,0.370594958,86
136,HiRain_SWW_SP,0.134332177,0.345709919,94
137,HiRain_SWW_SP,0.161002799,0.364969408,100
138,HiRain_SWW_SP,0.189502005,0.381024937,95
139,HiRain_SWW_SP,0.090793965,0.304327434,79
140,HiRain_SWW_SP,0.08349076,0.309504541,79
141,HiRain_SWW_SP,0.219225645,0.398514431,94
142,HiRain_SWW_SP,0.191332744,0.379520033,92
143,HiRain_SWW_SP,0.212387779,0.396879496,106
144,HiRain_SWW_SP,0.181863753,0.38143349,94
145,HiRain_SWW_SP,0.21886711,0.418447271,99
146,HiRain_SWW_SP,0.241848768,0.431680959,101
147,HiRain_SWW_SP,0.213768957,0.403541921,91
148,HiRain_SWW_SP,0.211278547,0.401487018,92
149,HiRain_SWW_SP,0.19180209,0.391603883,90
150,HiRain_SWW_SP,0.220476223,0.407477493,102
151,HiRain_SWW_SP,0.287738577,0.462517856,110
152,HiRain_SWW_SP,0.195388328,0.382702751,106
153,HiRain_SWW_SP,0.237635861,0.415477439,98
154,HiRain_SWW_SP,0.227604298,0.406535625,106
155,HiRain_SWW_SP,0.231580564,0.409302962,117
156,HiRain_SWW_SP,0.231905939,0.408757198,111
157,HiRain_SWW_SP,0.239837183,0.414851533,112
158,HiRain_SWW_SP,0.181525342,0.375830352,109
159,HiRain_SWW_SP,0.210891102,0.392052417,111
160,HiRain_SWW_SP,0.14318759,0.348326308,83
161,HiRain_SWW_SP,0.238103682,0.415077416,112
162,HiRain_SWW_SP,0.160425138,0.357230304,93
163,HiRain_SWW_SP,0.125438212,0.333325973,91
164,HiRain_SWW_SP,0.169016849,0.370204674,92
165,HiRain_SWW_SP,0.156628874,0.354621498,88
166,HiRain_SWW_SP,0.091186434,0.307790806,79
167,HiRain_SWW_SP,0.158132572,0.352076077,74
168,HiRain_SWW_SP,0.12848399,0.339117176,77
169,HiRain_SWW_SP,0.269644456,0.433335398,115
170,HiRain_SWW_SP,0.225645429,0.400575865,99
171,HiRain_SWW_SP,0.154369986,0.348400903,106
172,HiRain_SWW_SP,0.237999875,0.414924938,109
173,HiRain_SWW_SP,0.240316527,0.418442181,103
174,HiRain_SWW_SP,0.243640955,0.42993548,113
175,HiRain_SWW_SP,0.209973934,0.409298993,92
176,HiRain_SWW_SP,0.2066379,0.398307362,118
177,HiRain_SWW_SP,0.195584577,0.391035921,100
