id,Details,NDRE,PLATFORM,Yield
177,HiRain_Hard_SP,0.288110327,TAMU,128
178,HiRain_Hard_SP,0.269165875,TAMU,135
179,HiRain_Hard_SP,0.284255958,TAMU,129
180,HiRain_Hard_SP,0.25818698,TAMU,113
181,HiRain_Hard_SP,0.224915726,TAMU,111
182,HiRain_Hard_SP,0.244249766,TAMU,131
183,HiRain_Hard_SP,0.223424705,TAMU,107
184,HiRain_Hard_SP,0.231979297,TAMU,109
185,HiRain_Hard_SP,0.221279935,TAMU,110
186,HiRain_Hard_SP,0.214137226,TAMU,119
187,HiRain_Hard_SP,0.20119847,TAMU,117
188,HiRain_Hard_SP,0.206140024,TAMU,124
189,HiRain_Hard_SP,0.277617435,TAMU,123
190,HiRain_Hard_SP,0.270645139,TAMU,93
191,HiRain_Hard_SP,0.27773882,TAMU,96
192,HiRain_Hard_SP,0.274770588,TAMU,119
193,HiRain_Hard_SP,0.27023571,TAMU,118
194,HiRain_Hard_SP,0.264888071,TAMU,118
195,HiRain_Hard_SP,0.283923096,TAMU,103
196,HiRain_Hard_SP,0.276549385,TAMU,123
197,HiRain_Hard_SP,0.18158663,TAMU,103
198,HiRain_Hard_SP,0.18780204,TAMU,93
199,HiRain_Hard_SP,0.177330654,TAMU,107
2000,HiRain_Hard_SP,0.201545635,TAMU,100
201,HiRain_Hard_SP,0.215910023,TAMU,113
202,HiRain_Hard_SP,0.219960895,TAMU,111
203,HiRain_Hard_SP,0.201047715,TAMU,105
204,HiRain_Hard_SP,0.23117816,TAMU,115
205,HiRain_Hard_SP,0.266263653,TAMU,103
206,HiRain_Hard_SP,0.232011635,TAMU,108
207,HiRain_Hard_SP,0.199296299,TAMU,100
208,HiRain_Hard_SP,0.202387065,TAMU,100
209,HiRain_Hard_SP,0.213518607,TAMU,96
210,HiRain_Hard_SP,0.17468146,TAMU,84
211,HiRain_Hard_SP,0.046909107,TAMU,71
212,HiRain_Hard_SP,0.19168659,TAMU,91
213,HiRain_Hard_SP,0.189324387,TAMU,94
214,HiRain_Hard_SP,0.204414131,TAMU,102
215,HiRain_Hard_SP,0.215674977,TAMU,99
216,HiRain_Hard_SP,0.254965988,TAMU,101
217,HiRain_Hard_SP,0.250753081,TAMU,103
218,HiRain_Hard_SP,0.22015866,TAMU,115
219,HiRain_Hard_SP,0.249943297,TAMU,109
220,HiRain_Hard_SP,0.225059394,TAMU,110
221,HiRain_Hard_SP,0.153909066,TAMU,90
222,HiRain_Hard_SP,0.087361629,TAMU,75
223,HiRain_Hard_SP,0.134453705,TAMU,84
224,HiRain_Hard_SP,0.184384876,TAMU,84
225,HiRain_Hard_SP,0.193276926,TAMU,92
226,HiRain_Hard_SP,0.187138856,TAMU,92
227,HiRain_Hard_SP,0.163124476,TAMU,91
228,HiRain_Hard_SP,0.160079787,TAMU,101
229,HiRain_Hard_SP,0.16491828,TAMU,101
230,HiRain_Hard_SP,0.150623946,TAMU,99
231,HiRain_Hard_SP,0.228457133,TAMU,104
232,HiRain_Hard_SP,0.23573246,TAMU,119
233,HiRain_Hard_SP,0.221546313,TAMU,109
234,HiRain_Hard_SP,0.220812578,TAMU,104
235,HiRain_Hard_SP,0.176626348,TAMU,97
236,HiRain_Hard_SP,0.160591735,TAMU,102
237,HiRain_Hard_SP,0.162240407,TAMU,99
238,HiRain_Hard_SP,0.177861925,TAMU,95
239,HiRain_Hard_SP,0.233829814,TAMU,97
1,HiRain_SWW_SP,0.135776437,TAMU,62
2,HiRain_SWW_SP,0.165608989,TAMU,68
3,HiRain_SWW_SP,0.253120355,TAMU,90
4,HiRain_SWW_SP,0.230102882,TAMU,77
5,HiRain_SWW_SP,0.202120524,TAMU,68
6,HiRain_SWW_SP,0.165871281,TAMU,69
7,HiRain_SWW_SP,0.18788676,TAMU,67
8,HiRain_SWW_SP,0.205385694,TAMU,72
9,HiRain_SWW_SP,0.189520437,TAMU,75
10,HiRain_SWW_SP,0.227921535,TAMU,83
11,HiRain_SWW_SP,0.171265484,TAMU,87
12,HiRain_SWW_SP,0.22497546,TAMU,86
13,HiRain_SWW_SP,0.163157542,TAMU,72
14,HiRain_SWW_SP,0.215974393,TAMU,60
15,HiRain_SWW_SP,0.215205184,TAMU,57
16,HiRain_SWW_SP,0.2029685,TAMU,82
17,HiRain_SWW_SP,0.234621235,TAMU,103
18,HiRain_SWW_SP,0.223125169,TAMU,90
19,HiRain_SWW_SP,0.213726829,TAMU,90
20,HiRain_SWW_SP,0.179334857,TAMU,83
21,HiRain_SWW_SP,0.224086204,TAMU,95
